student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
612297ba00b3a42862310207	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	0
612297ba00b3a42862310207	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
612297ba00b3a42862310207	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
612297ba00b3a42862310207	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
612297ba00b3a42862310207	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	0
612297ba00b3a42862310207	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6124937600000918dce03cd0	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6124937600000918dce03cd0	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6124937600000918dce03cd0	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6124937600000918dce03cd0	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
6124937600000918dce03cd0	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6124937600000918dce03cd0	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6124937600000918dce03cd0	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6124937600000918dce03cd0	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6124937600000918dce03cd0	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6124937600000918dce03cd0	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6124937600000918dce03cd0	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6124937600000918dce03cd0	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
61250117e16a3a1d30b4d498	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
61250117e16a3a1d30b4d498	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
61250117e16a3a1d30b4d498	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
61250117e16a3a1d30b4d498	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
61250117e16a3a1d30b4d498	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	0
61250117e16a3a1d30b4d498	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
61250117e16a3a1d30b4d498	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
61250c271e99fb65acca8c56	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
61250c271e99fb65acca8c56	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
61250c271e99fb65acca8c56	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
61250c271e99fb65acca8c56	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
61250c271e99fb65acca8c56	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
612517f600000918df8bc0ac	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
612517f600000918df8bc0ac	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
612517f600000918df8bc0ac	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
612517f600000918df8bc0ac	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
612517f600000918df8bc0ac	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	0
612517f600000918df8bc0ac	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	0
612517f600000918df8bc0ac	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
612517f600000918df8bc0ac	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
61251e2ce16a3a1d335344e3	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
61251e2ce16a3a1d335344e3	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
61251e2ce16a3a1d335344e3	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6125198ee16a3a1d30b4f75c	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6125198ee16a3a1d30b4f75c	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6125198ee16a3a1d30b4f75c	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
6125198ee16a3a1d30b4f75c	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6125198ee16a3a1d30b4f75c	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
611d5b6d000009217bb1664e	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
611d5b6d000009217bb1664e	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	0
611d5b6d000009217bb1664e	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
611d5b6d000009217bb1664e	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
611d5b6d000009217bb1664e	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	0
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	0
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	0
611d5b6d000009217bb1664e	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
611d5b6d000009217bb1664e	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
611d5b6d000009217bb1664e	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
612549ba1e99fb65accaf67e	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
612549ba1e99fb65accaf67e	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
612549ba1e99fb65accaf67e	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
612549ba1e99fb65accaf67e	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
612549ba1e99fb65accaf67e	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
612549ba1e99fb65accaf67e	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
61247b0500b3a4286233ab66	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
61247b0500b3a4286233ab66	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
61247b0500b3a4286233ab66	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
61247b0500b3a4286233ab66	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
61247b0500b3a4286233ab66	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
61247b0500b3a4286233ab66	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
61247b0500b3a4286233ab66	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
61252d541e99fb65aa62e6d3	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	0
61252d541e99fb65aa62e6d3	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	0
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	0
61252d541e99fb65aa62e6d3	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6122abdbe16a3a1d3170037d	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6122abdbe16a3a1d3170037d	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6122abdbe16a3a1d3170037d	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6122abdbe16a3a1d3170037d	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	0
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6122abdbe16a3a1d3170037d	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6122abdbe16a3a1d3170037d	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	0
